"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15345","Check and highlight broken links on @smoke https://careers.unilever.com/working-at-unilever","","Tue Oct 21 22:34:49 BST 2025","failed","Tue Oct 21 22:35:04 BST 2025","Smoke Tests > Testing Working at Unilever","UIandFunctionalTest.spec.js","",""
"","6775","Validate meta title and description on @smoke https://careers.unilever.com/benefits-learning-wellbeing","","Tue Oct 21 22:38:01 BST 2025","passed","Tue Oct 21 22:38:07 BST 2025","Smoke Tests > Testing Benefits, Learning & Wellbeing","UIandFunctionalTest.spec.js","",""
"","6785","Validate favicon on @smoke https://careers.unilever.com/benefits-learning-wellbeing","","Tue Oct 21 22:37:54 BST 2025","passed","Tue Oct 21 22:38:01 BST 2025","Smoke Tests > Testing Benefits, Learning & Wellbeing","UIandFunctionalTest.spec.js","",""
"","12863","Validate favicon on @smoke https://careers.unilever.com/working-at-unilever","","Tue Oct 21 22:34:29 BST 2025","passed","Tue Oct 21 22:34:42 BST 2025","Smoke Tests > Testing Working at Unilever","UIandFunctionalTest.spec.js","",""
"","18541","Check and highlight broken links on @smoke https://careers.unilever.com/diversity-and-inclusion","","Tue Oct 21 22:36:50 BST 2025","failed","Tue Oct 21 22:37:09 BST 2025","Smoke Tests > Testing Diversity and Inclusion","UIandFunctionalTest.spec.js","",""
"","10949","Check and highlight broken images on @smoke https://www.unilever.com/careers/","","Tue Oct 21 22:38:25 BST 2025","passed","Tue Oct 21 22:38:36 BST 2025","Smoke Tests > Testing Benefits, Learning & Wellbeing","UIandFunctionalTest.spec.js","",""
"","12329","Validate meta title and description on @smoke https://careers.unilever.com/diversity-and-inclusion","","Tue Oct 21 22:36:38 BST 2025","passed","Tue Oct 21 22:36:50 BST 2025","Smoke Tests > Testing Diversity and Inclusion","UIandFunctionalTest.spec.js","",""
"","6681","Validate meta title and description on @smoke https://careers.unilever.com/working-at-unilever","","Tue Oct 21 22:34:42 BST 2025","passed","Tue Oct 21 22:34:49 BST 2025","Smoke Tests > Testing Working at Unilever","UIandFunctionalTest.spec.js","",""
"","9537","Check for placeholder content on https://careers.unilever.com/benefits-learning-wellbeing","","Tue Oct 21 22:38:37 BST 2025","passed","Tue Oct 21 22:38:46 BST 2025","Smoke Tests > Testing Benefits, Learning & Wellbeing","UIandFunctionalTest.spec.js","",""
"","15412","Test video playback on @smoke https://careers.unilever.com/diversity-and-inclusion","","Tue Oct 21 22:37:38 BST 2025","passed","Tue Oct 21 22:37:54 BST 2025","Smoke Tests > Testing Diversity and Inclusion","UIandFunctionalTest.spec.js","",""
"","11553","Check and highlight broken images on @smoke https://www.unilever.com/careers/","","Tue Oct 21 22:37:16 BST 2025","passed","Tue Oct 21 22:37:27 BST 2025","Smoke Tests > Testing Diversity and Inclusion","UIandFunctionalTest.spec.js","",""
"","12390","Test video playback on @smoke https://careers.unilever.com/benefits-learning-wellbeing","","Tue Oct 21 22:38:46 BST 2025","passed","Tue Oct 21 22:38:59 BST 2025","Smoke Tests > Testing Benefits, Learning & Wellbeing","UIandFunctionalTest.spec.js","",""
"","9706","Check and highlight broken images on @smoke https://www.unilever.com/careers/","","Tue Oct 21 22:35:08 BST 2025","passed","Tue Oct 21 22:35:18 BST 2025","Smoke Tests > Testing Working at Unilever","UIandFunctionalTest.spec.js","",""
"","13984","Check and highlight broken links on @smoke https://careers.unilever.com/benefits-learning-wellbeing","","Tue Oct 21 22:38:07 BST 2025","failed","Tue Oct 21 22:38:21 BST 2025","Smoke Tests > Testing Benefits, Learning & Wellbeing","UIandFunctionalTest.spec.js","",""
"","9651","Validate favicon on @smoke https://careers.unilever.com/diversity-and-inclusion","","Tue Oct 21 22:36:28 BST 2025","passed","Tue Oct 21 22:36:38 BST 2025","Smoke Tests > Testing Diversity and Inclusion","UIandFunctionalTest.spec.js","",""
"","54914","Test video playback on @smoke https://careers.unilever.com/working-at-unilever","","Tue Oct 21 22:35:33 BST 2025","passed","Tue Oct 21 22:36:28 BST 2025","Smoke Tests > Testing Working at Unilever","UIandFunctionalTest.spec.js","",""
"","14545","Check for placeholder content on https://careers.unilever.com/working-at-unilever","","Tue Oct 21 22:35:18 BST 2025","passed","Tue Oct 21 22:35:33 BST 2025","Smoke Tests > Testing Working at Unilever","UIandFunctionalTest.spec.js","",""
"","10302","Check for placeholder content on https://careers.unilever.com/diversity-and-inclusion","","Tue Oct 21 22:37:28 BST 2025","passed","Tue Oct 21 22:37:38 BST 2025","Smoke Tests > Testing Diversity and Inclusion","UIandFunctionalTest.spec.js","",""
